Day,Order,Target,Location,Fold Change,StDev
3,1,KLF4,Duodenum,0.239391371,0.182799973
3,2,KLF4,Prox Jejunum,-0.664795479,0.103950027
3,3,KLF4,Mid Jejunum,-1.029752672,0.139841654
3,4,KLF4,Dist Jejunum,-0.657399848,0.108868927
3,5,KLF4,Ileum,-1.082080409,0.026058194
3,6,KLF4,Colon,1.361155654,0.040060015
7,1,KLF4,Duodenum,1.296411731,0.28101942
7,2,KLF4,Prox Jejunum,-0.921974994,0.081350298
7,3,KLF4,Mid Jejunum,-1.756683494,0.060488772
7,4,KLF4,Dist Jejunum,0.21959185,0.077952879
7,5,KLF4,Ileum,0.198932423,0.543743265
7,6,KLF4,Colon,0.801272084,0.235711179
21,1,KLF4,Duodenum,1.976346715,1.448823945
21,2,KLF4,Prox Jejunum,-1.067793574,0.050610701
21,3,KLF4,Mid Jejunum,-0.994815511,0.006331875
21,4,KLF4,Dist Jejunum,-0.182169235,0.039200567
21,5,KLF4,Ileum,-0.768720856,0.029334519
21,6,KLF4,Colon,1.765701578,0.504888983
1,1,Keratin 8,Duodenum,0.305889435,0.33250027
1,2,Keratin 8,Prox Jejunum,-0.883600812,0.072584081
1,3,Keratin 8,Mid Jejunum,-3.86485679,0.004306715
1,4,Keratin 8,Dist Jejunum,-0.069537259,0.229178118
1,5,Keratin 8,Ileum,-0.183943186,0.223225191
1,6,Keratin 8,Colon,2.148584772,0.513929918
3,1,Keratin 8,Duodenum,0.580270333,0.080379828
3,2,Keratin 8,Prox Jejunum,-0.378488681,0.151485289
3,3,Keratin 8,Mid Jejunum,-1.054927439,0.096866058
3,4,Keratin 8,Dist Jejunum,-0.830513964,0.111713441
3,5,Keratin 8,Ileum,-0.641130851,0.048442952
3,6,Keratin 8,Colon,0.92558629,0.193747021
7,1,Keratin 8,Duodenum,0.936246468,0.354410977
7,2,Keratin 8,Prox Jejunum,-0.414915473,0.099862508
7,3,Keratin 8,Mid Jejunum,-1.009276692,0.120715956
7,4,Keratin 8,Dist Jejunum,0.402556847,0.12181974
7,5,Keratin 8,Ileum,0.162450247,0.540391236
7,6,Keratin 8,Colon,0.197854179,0.265561423
21,1,Keratin 8,Duodenum,1.663733183,0.328854087
21,2,Keratin 8,Prox Jejunum,-0.166514671,0.196171146
21,3,Keratin 8,Mid Jejunum,-0.284396161,0.188544136
21,4,Keratin 8,Dist Jejunum,0.195159176,0.186882324
21,5,Keratin 8,Ileum,-1.360430803,0.034080814
21,6,Keratin 8,Colon,0.481100379,0.204058263
